lat,lng
31.58453,-111.33359
47.86878,-114.29546
37.01826,-94.33536
30.88811,-100.64723
38.16573,-88.04157
32.82182,-94.74035
66.56395,-152.76395
58.12864,-136.19507
39.49535,-93.54569
26.30868,-98.69723
40.30948,-83.91378
33.628,-78.97369
43.7932,-95.82659
45.44184,-114.05549
35.70667,-117.34263
32.38275,-106.45804
44.18445,-71.18899
38.44922,-122.79307
46.74567,-88.99919
33.44626,-83.07598
45.30689,-118.13265
47.4894,-92.76583
32.58133,-110.5627
41.65695,-117.88461
32.51904,-114.77977
36.77484,-104.02073
39.24611,-107.77259
41.41737,-95.00352
62.82476,-164.68692
45.70934,-93.90577
42.21258,-83.35203
66.60708,-160.07136
44.80453,-83.3459
39.69511,-119.35082
32.5105,-105.2235
21.55072,-158.15857
30.88012,-96.51707
34.89841,-97.04298
44.07014,-111.73075
48.36212,-102.42273
35.68638,-94.91056
45.08134,-92.22929
25.70255,-80.29792
39.67956,-116.01497
31.9726,-112.71943
38.38644,-121.58118
37.57954,-112.08306
32.68664,-81.18011
36.56232,-116.42454
63.67965,-170.48309
40.03239,-91.20851
36.29112,-112.12543
41.87159,-112.74697
39.06814,-80.7554
47.20356,-124.19532
47.7328,-103.45268
47.06857,-119.86653
34.65106,-87.40705
43.72457,-74.73577
48.8682,-100.08927
42.95733,-118.69241
56.78305,-134.16688
36.32645,-78.40754
41.0308,-107.52201
41.24913,-103.67097
36.01948,-92.48937
39.23887,-113.95719
47.83604,-118.43675
38.67199,-78.4548
59.20738,-160.52622
39.8982,-82.74227
44.06595,-117.75997
43.95666,-110.45191
41.76333,-110.54415
30.89083,-101.91305
42.91751,-106.7084
47.78772,-120.85454
30.93436,-94.35605
64.07945,-141.97039
30.40344,-88.89165
36.36448,-76.07058
60.29813,-155.40518
39.31269,-87.85602
67.29316,-161.91744
36.76612,-80.70045
43.72829,-113.45702
20.24005,-155.83344
45.20879,-89.76743
32.69018,-102.72482
40.10351,-105.52253
37.79819,-114.35862
45.58641,-96.6828
42.7056,-96.31569
44.11376,-68.35479
45.65602,-105.43296
37.25681,-87.32053
40.49848,-78.85184
42.26126,-104.51995
48.29491,-106.93589
43.88498,-100.08857
35.96431,-84.29221
38.81864,-102.80624
38.60781,-98.33913
39.81609,-99.5875
39.11494,-94.7701
37.34652,-77.05962
35.80945,-96.36101
28.38168,-100.22962
28.91788,-97.0311
33.74071,-85.137
34.46187,-106.69719
54.84305,-163.39945
42.03515,-94.05996
37.38093,-79.4021
46.0251,-91.29494
40.74908,-74.26022
36.9805,-93.21045
60.5333,-165.1557
42.4916,-91.45333
31.78203,-108.82192
33.90026,-111.62412
36.26978,-121.38018
